"","c.36..22..68..21..12..14..74..9."
"Hamlet.txt",36
"KingLear.txt",22
"KingRichard3.txt",68
"Macbeth.txt",21
"MidsummerNightsDream.txt",12
"Othello.txt",14
"RomeoAndJuliet.txt",74
"TwelfthNight.txt",9
