"","c.108..82..117..52..40..89..86..80."
"Hamlet.txt",108
"KingLear.txt",82
"KingRichard3.txt",117
"Macbeth.txt",52
"MidsummerNightsDream.txt",40
"Othello.txt",89
"RomeoAndJuliet.txt",86
"TwelfthNight.txt",80
