"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"524","RT @Morning_Joe: .@BernieSanders sets his sights on New Hampshire and beyond. Tune in TOMORROW! #morningjoe https://t.co/kMW818Ap59",FALSE,0,NA,2016-02-02 23:53:01,FALSE,NA,"694669885633359872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rm_boyd",505,TRUE,FALSE,NA,NA
"525","@lucasmclark @GonzaCondis @BarackObama @BernieSanders @HillaryClinton vos decís x lo @MonicaLewinsky y @billclinton?",FALSE,0,"lucasmclark",2016-02-02 23:52:59,FALSE,"694669110970572801","694669876951175168","136037484","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","martinsanchez05",0,FALSE,FALSE,NA,NA
"526","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:59,FALSE,NA,"694669875302694913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaimeRuiz32",1528,TRUE,FALSE,NA,NA
"527","RT @MMFlint: Tonight I officially endorse @BernieSanders for President. Read my endorsement letter here: https://t.co/uFlByfm6al https://t.…",FALSE,0,NA,2016-02-02 23:52:57,FALSE,NA,"694669866809364481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hydrovolution",6982,TRUE,FALSE,NA,NA
"528","RT @Morning_Joe: .@BernieSanders sets his sights on New Hampshire and beyond. Tune in TOMORROW! #morningjoe https://t.co/kMW818Ap59",FALSE,0,NA,2016-02-02 23:52:56,FALSE,NA,"694669865509130245",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nerdzilla76",505,TRUE,FALSE,NA,NA
"529","RT @PatriciaBynes: So like I said earlier today, I made up my mind this morning about the Dem primary.  I'm for @BernieSanders",FALSE,0,NA,2016-02-02 23:52:55,FALSE,NA,"694669860647866368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ariramku",87,TRUE,FALSE,NA,NA
"530","@BernieSanders Iowa caucus I voted  Hillary but surprised w students support to u. I still don't get how u will provide free education.",FALSE,0,"BernieSanders",2016-02-02 23:52:55,FALSE,NA,"694669859175575552","216776631","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dsmsam2009",0,FALSE,FALSE,NA,NA
"531","@BernieSanders Why did we agree to debate before they agreed to our terms?",FALSE,0,"BernieSanders",2016-02-02 23:52:53,FALSE,"694667209797316608","694669852724764672","216776631","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bernchallenge",0,FALSE,FALSE,NA,NA
"532","RT @jhutch1992: @BernieSanders our generation proved them wrong tonight . we do care. and we showed it. well done Iowa. thank you. #notmeus…",FALSE,0,NA,2016-02-02 23:52:52,FALSE,NA,"694669846764765184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wbostelman",679,TRUE,FALSE,NA,NA
"533","@BernieSanders @derek_petersen",FALSE,1,"BernieSanders",2016-02-02 23:52:52,FALSE,"694667209797316608","694669846047559680","216776631","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Claire_Bleeeler",0,FALSE,FALSE,NA,NA
"534","Trust @BernieSanders Dangerous liassons,all in bed tog. interchangeable cogs not safe.
https://t.co/3NC5ZtRdsm",FALSE,0,NA,2016-02-02 23:52:46,FALSE,NA,"694669822098018305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarolineLFrench",0,FALSE,FALSE,NA,NA
