"","c.6..3..10..2..0..5..4..3."
"Hamlet.txt",6
"KingLear.txt",3
"KingRichard3.txt",10
"Macbeth.txt",2
"MidsummerNightsDream.txt",0
"Othello.txt",5
"RomeoAndJuliet.txt",4
"TwelfthNight.txt",3
