"","c.25..5..40..3..12..0..1..2."
"Hamlet.txt",25
"KingLear.txt",5
"KingRichard3.txt",40
"Macbeth.txt",3
"MidsummerNightsDream.txt",12
"Othello.txt",0
"RomeoAndJuliet.txt",1
"TwelfthNight.txt",2
