"","c.8..16..14..11..9..6..5..0."
"Hamlet.txt",8
"KingLear.txt",16
"KingRichard3.txt",14
"Macbeth.txt",11
"MidsummerNightsDream.txt",9
"Othello.txt",6
"RomeoAndJuliet.txt",5
"TwelfthNight.txt",0
