"","c.70..75..36..16..13..19..25..11."
"Hamlet.txt",70
"KingLear.txt",75
"KingRichard3.txt",36
"Macbeth.txt",16
"MidsummerNightsDream.txt",13
"Othello.txt",19
"RomeoAndJuliet.txt",25
"TwelfthNight.txt",11
