,date,count
0,2020-01-01,2
1,2020-01-02,0
2,2020-01-03,2
3,2020-01-04,3
4,2020-01-05,1
5,2020-01-06,2
6,2020-01-07,2
7,2020-01-08,17
8,2020-01-09,140
9,2020-01-10,83
10,2020-01-11,218
11,2020-01-12,131
12,2020-01-13,151
13,2020-01-14,106
14,2020-01-15,90
15,2020-01-16,216
16,2020-01-17,343
17,2020-01-18,341
18,2020-01-19,284
19,2020-01-20,2263
20,2020-01-21,8222
21,2020-01-22,2270
