has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url
True,"['Coronavirus', 'China', 'Wuhanpic']",['https://pbs.twimg.com/media/EPPvxqOUYAAib4G.jpg'],True,False,28,[],,1,[],16,Dave2307,"More than 2500 people infected and 80 people had died of the #Coronavirus in #China. The rate is now 1000 people per day infected, I think it's time for China to close down the borders. #Wuhanpic.twitter.com/RenUy0cxps","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">More than 2500 people infected and 80 people had died of the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Coronavirus?src=hash""><s>#</s><b><strong>Coronavirus</strong></b></a> in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/China?src=hash""><s>#</s><b>China</b></a>. The rate is now 1000 people per day infected, I think it's time for China to close down the borders. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Wuhan?src=hash""><s>#</s><b>Wuhan</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/RenUy0cxps"">pic.twitter.com/RenUy0cxps</a></p>",2020-01-26 23:59:53,2020-01-26 23:59:53,1221583571111923712,/Dave2307/status/1221583571111923712,241410022,David Li,
False,['coronavirus'],[],False,True,0,[],1221070936394424321,0,"[{'screen_name': 'IngrahamAngle', 'user_id': '50769180'}]",0,TrumpWillWinnn,"This is interesting, and extremely concerning. #coronavirus how did it start? Stay alert.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This is interesting, and extremely concerning. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> how did it start? Stay alert.</p>",2020-01-26 23:59:24,2020-01-26 23:59:24,1221583449502310400,/TrumpWillWinnn/status/1221583449502310400,781686939090980864,❌UnitedWeStand❌,
True,"['pandemic', 'coronavirus']",['https://pbs.twimg.com/media/EPPvprQX0AAKBtn.jpg'],False,False,4,[],,0,[],0,usasmitty,And if you want to take a deeper dive. #pandemic #coronavirus pic.twitter.com/q9Pui5DFel,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">And if you want to take a deeper dive. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/pandemic?src=hash""><s>#</s><b>pandemic</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/q9Pui5DFel"">pic.twitter.com/q9Pui5DFel</a></p>",2020-01-26 23:59:19,2020-01-26 23:59:19,1221583428241494016,/usasmitty/status/1221583428241494017,829345776836997120,Supes,
False,"['CoronavirusOutbreak', 'coronavirus']",[],True,False,1,[],,2,[],0,PetarVodogaz,"A few scientists have provided context on the #CoronavirusOutbreak with this possibility. As the ice-sheets melt, hidden/frozen ancient viruses are being released and reanimated. These strains do not have vaccines and can mutate #coronavirus","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">A few scientists have provided context on the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CoronavirusOutbreak?src=hash""><s>#</s><b>CoronavirusOutbreak</b></a> with this possibility. As the ice-sheets melt, hidden/frozen ancient viruses are being released and reanimated. These strains do not have vaccines and can mutate <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a></p>",2020-01-26 23:59:16,2020-01-26 23:59:16,1221583415641690112,/PetarVodogaz/status/1221583415641690112,1021658377187803136,@Framing*The*Narrative,
True,"['coronavirus', '2019nCoV']",['https://pbs.twimg.com/media/EPPvn9AX4AI5tu7.jpg'],True,False,131,['https://www.ncbi.nlm.nih.gov/pubmed/24433341?dopt=Abstract'],,6,[],25,CachetMarie,"""IBV is a pathogenic chicken #coronavirus .""

""S. nigra extract can inhibit IBV at an early point in infection, probably by rendering the virus non-infectious. (...) future studies (...) to treat (...) IBV or other coronaviruses are warranted.""
#2019nCoV
https://www.ncbi.nlm.nih.gov/pubmed/24433341?dopt=Abstract …pic.twitter.com/E409ZX8vw6","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""IBV is a pathogenic chicken <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> .""

""S. nigra extract can inhibit IBV at an early point in infection, probably by rendering the virus non-infectious. (...) future studies (...) to treat (...) IBV or other coronaviruses are warranted.""
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/2019nCoV?src=hash""><s>#</s><b>2019nCoV</b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""https://www.ncbi.nlm.nih.gov/pubmed/24433341?dopt=Abstract"" dir=""ltr"" href=""https://t.co/QH6imz40RF"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.ncbi.nlm.nih.gov/pubmed/24433341?dopt=Abstract""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">ncbi.nlm.nih.gov/pubmed/2443334</span><span class=""invisible"">1?dopt=Abstract</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/E409ZX8vw6"">pic.twitter.com/E409ZX8vw6</a></p>",2020-01-26 23:59:15,2020-01-26 23:59:15,1221583408595394560,/CachetMarie/status/1221583408595394561,1140705543440556032,Marie Cachet,
True,"['coronavirus', 'RiderAlertpic']","['https://pbs.twimg.com/media/EPPvlkPWkAIYLg_.jpg', 'https://pbs.twimg.com/media/EPPvmecX0AIkWTS.jpg']",True,False,4,[],,2,[],10,HotPretzelGuy,"@VCHhealthcare 

From @yvrairport via @TransLink  Canada Line. The #coronavirus could be in the @Vancouver DT core in less than 30 min. 

#RiderAlertpic.twitter.com/ZuqaYACx2B","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""317255492"" dir=""ltr"" href=""/VCHhealthcare""><s>@</s><b>VCHhealthcare</b></a> 

From <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""96006812"" dir=""ltr"" href=""/yvrairport""><s>@</s><b>yvrairport</b></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""61617150"" dir=""ltr"" href=""/TransLink""><s>@</s><b>TransLink</b></a>  Canada Line. The <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> could be in the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1454571"" dir=""ltr"" href=""/Vancouver""><s>@</s><b>Vancouver</b></a> DT core in less than 30 min. 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RiderAlert?src=hash""><s>#</s><b>RiderAlert</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZuqaYACx2B"">pic.twitter.com/ZuqaYACx2B</a></p>",2020-01-26 23:59:07,2020-01-26 23:59:07,1221583378287353856,/HotPretzelGuy/status/1221583378287353864,1039422846,Filling up your mom's water dish,
False,['coronavirus'],[],False,False,1,[],,0,[],0,Chillrelaxed,"Whoa the futures market gapped down on open.  Media may be down playing the seriousness of this, but clearly someone is worried.  $SPX #coronavirus","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Whoa the futures market gapped down on open.  Media may be down playing the seriousness of this, but clearly someone is worried.  <a class=""twitter-cashtag pretty-link js-nav"" data-query-source=""cashtag_click"" dir=""ltr"" href=""/search?q=%24SPX&amp;src=ctag""><s>$</s><b>SPX</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a></p>",2020-01-26 23:59:03,2020-01-26 23:59:03,1221583360339972096,/Chillrelaxed/status/1221583360339972096,58330119,F.,
False,"['coronavirus', 'china', 'health']",[],False,False,0,['https://www.scmp.com/news/china/society/article/3047720/chinese-premier-li-keqiang-head-coronavirus-crisis-team-outbreak'],,0,[],1,KendallHarmon6,"5 million left Wuhan before lockdown, mayor reveals, as 1,000 new cases expected https://www.scmp.com/news/china/society/article/3047720/chinese-premier-li-keqiang-head-coronavirus-crisis-team-outbreak … via @scmpnews #coronavirus #china #health","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">5 million left Wuhan before lockdown, mayor reveals, as 1,000 new cases expected <a class=""twitter-timeline-link"" data-expanded-url=""https://www.scmp.com/news/china/society/article/3047720/chinese-premier-li-keqiang-head-coronavirus-crisis-team-outbreak"" dir=""ltr"" href=""https://t.co/3BD7bJAljj"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.scmp.com/news/china/society/article/3047720/chinese-premier-li-keqiang-head-coronavirus-crisis-team-outbreak""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">scmp.com/news/china/soc</span><span class=""invisible"">iety/article/3047720/chinese-premier-li-keqiang-head-coronavirus-crisis-team-outbreak</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""23922797"" dir=""ltr"" href=""/SCMPNews""><s>@</s><b>scmpnews</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/china?src=hash""><s>#</s><b>china</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/health?src=hash""><s>#</s><b>health</b></a></p>",2020-01-26 23:58:57,2020-01-26 23:58:57,1221583332384919552,/KendallHarmon6/status/1221583332384919552,2192380736,Kendall Harmon,
False,['Coronavirus'],[],False,False,2,['https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it'],,0,[],1,MapleSu83765869,"Did China Steal #Coronavirus From Canada and Weaponize It

https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Did China Steal <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Coronavirus?src=hash""><s>#</s><b><strong>Coronavirus</strong></b></a> From Canada and Weaponize It

<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it"" dir=""ltr"" href=""https://t.co/efD7SKn30B"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">zerohedge.com/geopolitical/d</span><span class=""invisible"">id-china-steal-coronavirus-canada-and-weaponize-it</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-01-26 23:58:56,2020-01-26 23:58:56,1221583330090651648,/MapleSu83765869/status/1221583330090651659,1098043595125338112,Maple Sugar⭐⭐⭐,
False,['coronavirus'],[],False,True,1,[],1221304435176923136,0,"[{'screen_name': 'vcdgf555', 'user_id': '1100266332283559936'}]",0,HunayJohnson,Uh oh #coronavirus,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Uh oh <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a></p>",2020-01-26 23:58:55,2020-01-26 23:58:55,1221583326701608960,/HunayJohnson/status/1221583326701608962,1213902808023330816,JohnsonHunay,
