,1589TwoGentlemenOfVerona.txt,1590TamingOfTheShrew.txt,1591KingHenry6_1.txt,1591KingHenry6_2.txt,1591KingHenry6_3.txt,1591TitusAndronicus.txt,1592KingRichard3.txt,1594ComedyOfErrors.txt,1594LovesLaboursLost.txt,1595KingRichard2.txt,1595MidsummerNightsDream.txt,1595RomeoAndJuliet.txt,1596KingHenry4_1.txt,1596KingJohn.txt,1596MerchantOfVenice.txt,1597KingHenry4_2.txt,1597MerryWivesOfWindsor.txt,1598MuchAdoAboutNothing.txt,1599AsYouLikeIt.txt,1599Hamlet.txt,1599JuliusCaesar.txt,1599KingHenry5.txt,1600TroilusAndCressida.txt,1601TwelfthNight.txt,1603MeasureForMeasure.txt,1603Othello.txt,1604AllsWellThatEndsWell.txt,1605KingLear.txt,1605TimonOfAthens.txt,1606AnthonyAndCleopatra.txt,1606Macbeth.txt,1608Coriolanus.txt,1609WintersTale.txt,1610Cymbeline.txt,1610Tempest.txt,1612KingHenry8.txt
1589TwoGentlemenOfVerona.txt,,0.9645348733997873,0.9494972855438089,0.9549497595566645,0.946128450541913,0.9505690304524363,0.9677623756140226,0.9693053245285763,0.9714419235749451,0.9614196474465239,0.951035224293404,0.9462454596795182,0.9641479952919048,0.9625853152802442,0.9668188960239859,0.9683719401433364,0.9607975813899864,0.9666466240916951,0.9716315455537847,0.9699366360023134,0.9345342188255401,0.9687243900755262,0.9545469015290581,0.9722655317432017,0.967458775858031,0.959255237394513,0.9773885058832759,0.9730262340648642,0.954500715525515,0.9559585894717786,0.9609458686860058,0.9677462718934813,0.9733003603324291,0.9734698266614525,0.9666041613486743,0.9718021158512181
1590TamingOfTheShrew.txt,0.9645348733997873,,0.9523719702502971,0.9583328315031912,0.9489601646326656,0.953740806596635,0.9704900594209547,0.9738520621162828,0.9713705041772204,0.9642835589516573,0.950816144489446,0.947133217328969,0.969610549573405,0.9653402082945879,0.970131669354055,0.9737301180331416,0.9657962212123288,0.9697074204301467,0.9730146108083444,0.9729711121403641,0.9376511228759686,0.9740572048451215,0.9573820330661694,0.9739678400469447,0.9712218621112833,0.9620450245170754,0.9792502770169126,0.9765897912914422,0.956952386742292,0.9586922679754033,0.9645449899355881,0.9707851336387161,0.9769262987427658,0.976165250845384,0.9703945793134395,0.9747108977633259
1591KingHenry6_1.txt,0.9494972855438089,0.9523719702502971,,0.9693505669086608,0.9566299728857832,0.9447935948938279,0.9686911655767411,0.95844873993001,0.9593319116119581,0.9637436514252418,0.9374953677366639,0.9336231558786426,0.9618635085368632,0.9644208934916249,0.9555015450168244,0.9646433100351582,0.9481137887476686,0.9552301809643325,0.9581305410630867,0.9637787269294976,0.9266773752046527,0.9703689960983789,0.9473383597973165,0.9595815647437255,0.9593204487520053,0.948592334558418,0.9683217381778088,0.9670385789285287,0.9488763630545242,0.9476029174625707,0.9548382467123144,0.9585258266486691,0.9648791902431232,0.9649692536453236,0.9588250139020326,0.9687871783352268
1591KingHenry6_2.txt,0.9549497595566645,0.9583328315031912,0.9693505669086608,,0.9698026151691729,0.9510248525582917,0.97739745879682,0.9651468276313078,0.9654248489090047,0.9732567995618815,0.9433025453091943,0.9396248427797878,0.9692046422659704,0.9683650984252475,0.9615916728792404,0.972400464433812,0.9550516039818789,0.9614909955563182,0.9644242285117555,0.970098654186922,0.9329073324626109,0.9745705216114269,0.9523981776307251,0.9655195308586277,0.9665434731485462,0.9546281462498601,0.9738495318396679,0.9738145585786308,0.9550185272810878,0.9538513736292454,0.9613803551234328,0.9637733674765288,0.9714627191969492,0.970908421484234,0.9653627405051148,0.9771580284487912
1591KingHenry6_3.txt,0.946128450541913,0.9489601646326656,0.9566299728857832,0.9698026151691729,,0.9427787685147728,0.9721339247465312,0.9547355802927789,0.9555552312342556,0.9645616221499047,0.9345893892363271,0.9315318539704156,0.9582130732762967,0.9592856055108372,0.9516529198053767,0.9618965482101892,0.9439769363919067,0.9512500881651446,0.955158021997935,0.9596990288005494,0.9228850990397465,0.9644603606555757,0.9431200655006647,0.9554820015609236,0.9554050796156811,0.944176025374661,0.9633438584216304,0.9629572126775287,0.942983405734775,0.9443009603541298,0.9516845413821964,0.9541435361153109,0.9621035917772447,0.9614727856113232,0.9564525243751704,0.9641035276069082
1591TitusAndronicus.txt,0.9505690304524363,0.953740806596635,0.9447935948938279,0.9510248525582917,0.9427787685147728,,0.9627105326235887,0.9593675781927518,0.9584392516332239,0.9577018603439672,0.9395488583985816,0.9347319992665891,0.9576892806609113,0.9582878516459303,0.9558974728968981,0.9618446947645517,0.9486226675681743,0.9553802470148148,0.9590557359227181,0.9624341612223614,0.9324308043801535,0.9608952920538528,0.9467978480124459,0.9603992957705921,0.9592917152249463,0.9500708201947586,0.9667684020458667,0.964948930993064,0.9474801014902228,0.9502826427038663,0.9540358808103933,0.9647280546246747,0.9650449297394377,0.9664500672246109,0.9584494368402323,0.9641612377321469
1592KingRichard3.txt,0.9677623756140226,0.9704900594209547,0.9686911655767411,0.97739745879682,0.9721339247465312,0.9627105326235887,,0.9763684667834425,0.9769069416793393,0.981660850730565,0.9555410351995806,0.9523980522854706,0.9786840494351404,0.9773198247798769,0.973535433263895,0.9829316405269983,0.9661097780170228,0.9745385607565015,0.9769660301835936,0.9818004188659677,0.9440953038271754,0.9826865257292767,0.9643161159845496,0.9776233703602792,0.977673838451733,0.9668985101405132,0.9856526997146993,0.9835415108169908,0.9663767243346385,0.9653685346346382,0.9723397185658885,0.9757878570625581,0.9833323211127933,0.9826231992510236,0.9763367519187283,0.9861515111837342
1594ComedyOfErrors.txt,0.9693053245285763,0.9738520621162828,0.95844873993001,0.9651468276313078,0.9547355802927789,0.9593675781927518,0.9763684667834425,,0.9760340536777208,0.970774019129792,0.9557198890339917,0.9513910420363861,0.9744405615071741,0.9717253768020576,0.9761756590676536,0.9791693855198025,0.9717560583260207,0.9746030957808033,0.9783200525243372,0.978363014908116,0.9445012930207382,0.9789600312920295,0.9629920643795016,0.9798330543106251,0.9784113439131642,0.967648493129344,0.9853198372743139,0.9822185023691142,0.9639622487157442,0.9648975571971119,0.9711829351583257,0.9776660100928593,0.9826011044482172,0.9826670403813286,0.9768827531812487,0.9806864214820796
1594LovesLaboursLost.txt,0.9714419235749451,0.9713705041772204,0.9593319116119581,0.9654248489090047,0.9555552312342556,0.9584392516332239,0.9769069416793393,0.9760340536777208,,0.9728575820078637,0.959460562252693,0.9538354566164358,0.9742683462502374,0.9734007995285023,0.9743121914753358,0.9780263301805123,0.9672573045712161,0.9748418776452094,0.9790283756290873,0.9785429458626567,0.9426145423026075,0.9788997766533615,0.9665252078920721,0.9797577590735219,0.9756081467695343,0.9660726560106312,0.984467848567242,0.9814012660063323,0.963388721009364,0.9644614397354497,0.9693488535922881,0.9749058002299321,0.981423259264967,0.9810354568995053,0.9743902350398849,0.9810991297683814
1595KingRichard2.txt,0.9614196474465239,0.9642835589516573,0.9637436514252418,0.9732567995618815,0.9645616221499047,0.9577018603439672,0.981660850730565,0.970774019129792,0.9728575820078637,,0.9503501704045078,0.9479138097822106,0.9768910246389465,0.9757057563358825,0.9682286768590262,0.9796273035465537,0.9596492945976034,0.9678285324890421,0.971432349424972,0.9760100499670434,0.939204062596795,0.9792793714591889,0.9588426880181591,0.971784913047948,0.971589730261866,0.9606222019741284,0.9794970705806335,0.9789050301129149,0.9601188850585131,0.9603232480965368,0.9688179948102843,0.9707981075057102,0.9779359015228912,0.9775142987087647,0.9719384648128259,0.9809596870157699
