"","c.68..56..67..19..113..80..151..83."
"Hamlet.txt",68
"KingLear.txt",56
"KingRichard3.txt",67
"Macbeth.txt",19
"MidsummerNightsDream.txt",113
"Othello.txt",80
"RomeoAndJuliet.txt",151
"TwelfthNight.txt",83
